p1_class,p1_level,p1_hp,p1_ac,p1_avg_save,p2_class,p2_level,p2_hp,p2_ac,p2_avg_save,p3_class,p3_level,p3_hp,p3_ac,p3_avg_save,p4_class,p4_level,p4_hp,p4_ac,p4_avg_save,num_of_monsters,monster_name,monster_cr,monster_ac,monster_hp,dificulty
Sorcerer,2,14,13,2,Paladin,2,18,19,2,Warlock,2,12,13,2,Ranger,2,21,13,2,10,Scout,0.5,13,16,0.0
Wizzard,3,15,12,3,Wizzard,3,11,10,3,Artificer,3,32,12,3,Sorcerer,3,15,14,3,10,Crocodile,0.5,12,19,0.24696997776130472
Fighter,1,11,14,2,Barbarian,1,11,15,2,Ranger,1,10,17,2,Warlock,1,4,11,2,1,Swarm of Poisonous Snakes,2.0,14,36,0.7202797202797202
Fighter,1,10,12,2,Paladin,1,7,15,2,Rogue,1,9,16,2,Sorcerer,1,3,12,2,10,Quipper,0.0,13,1,1.0
Rogue,3,23,16,3,Paladin,3,24,15,3,Bard,3,19,15,3,Wizzard,3,18,11,3,1,Gauth,6.0,15,52,0.907807038860974
Bard,1,9,12,2,Druid,1,7,14,2,Cleric,1,9,18,2,Warlock,1,6,14,2,2,Cult Fanatic,2.0,13,33,0.22056384742951907
Rogue,1,4,11,2,Paladin,1,6,16,2,Druid,1,11,12,2,Bard,1,8,16,2,1,Xvart Warlock of Raxivort,1.0,12,22,0.9477408818726184
Bard,4,22,16,3,Druid,4,31,14,3,Sorcerer,4,17,14,3,Sorcerer,4,20,11,3,5,Grung Wildling,1.0,16,27,0.26716174522581126
Rogue,5,29,16,3,Paladin,5,39,14,3,Sorcerer,5,33,12,3,Fighter,5,40,16,3,10,Swarm of Insects,0.5,12,22,0.3651312016922097
Rogue,2,17,15,2,Rogue,2,15,16,2,Bard,2,15,13,2,Artificer,2,15,15,2,1,Incubus,4.0,15,66,0.8568627450980394
Rogue,1,5,12,2,Sorcerer,1,6,13,2,Bard,1,5,12,2,Barbarian,1,9,13,2,1,Derro Savant,3.0,13,36,0.3132969034608379
Paladin,2,20,18,2,Warlock,2,18,16,2,Wizzard,2,13,15,2,Ranger,2,21,16,2,3,Plesiosaurus,2.0,13,68,0.0
Ranger,5,38,15,3,Sorcerer,5,37,10,3,Cleric,5,36,17,3,Paladin,5,36,19,3,10,Sea Horse,0.0,11,1,0.8238524025515088
Rogue,2,16,14,2,Fighter,2,18,19,2,Sorcerer,2,16,11,2,Artificer,2,15,14,2,10,Warhorse,0.5,11,19,0.0
Wizzard,4,24,13,3,Druid,4,28,12,3,Warlock,4,29,15,3,Wizzard,4,17,10,3,1,Ettin,4.0,12,85,0.4517709093037834
Cleric,3,17,18,3,Warlock,3,29,12,3,Monk,3,21,16,3,Warlock,3,15,15,3,10,Neogi Hatchling,0.125,11,7,0.4007574244648731
Rogue,2,10,13,2,Monk,2,16,16,2,Druid,2,17,15,2,Cleric,2,20,14,2,10,Mastiff,0.125,12,5,0.9815718157181572
Ranger,5,39,12,3,Paladin,5,48,16,3,Ranger,5,50,13,3,Paladin,5,43,17,3,1,Yuan-ti Malison (Type 1),3.0,12,66,0.9643375255436858
Bard,5,29,14,3,Rogue,5,29,15,3,Artificer,5,31,16,3,Bard,5,48,16,3,10,Giant Badger,0.25,10,13,0.8947795259997836
Rogue,1,8,11,2,Cleric,1,7,14,2,Druid,1,6,12,2,Monk,1,7,10,2,1,Flail Snail,3.0,16,52,0.6443298969072164
Ranger,1,12,16,2,Rogue,1,8,13,2,Fighter,1,12,15,2,Cleric,1,9,14,2,2,Bronze Dragon Wyrmling,2.0,17,32,0.0
Rogue,5,38,13,3,Cleric,5,25,19,3,Wizzard,5,25,15,3,Druid,5,42,14,3,5,Mimic,2.0,12,58,0.7285779355939925
Ranger,4,34,13,3,Cleric,4,37,16,3,Wizzard,4,31,10,3,Monk,4,32,12,3,1,Annis Hag,6.0,17,90,0.07259899031458476
Warlock,4,34,15,3,Wizzard,4,28,13,3,Cleric,4,32,16,3,Druid,4,32,13,3,10,Maw Demon,1.0,13,33,0.0
Barbarian,5,40,14,3,Bard,5,52,14,3,Druid,5,42,13,3,Druid,5,46,16,3,1,Bulette,5.0,17,94,0.8147489612453834
Monk,4,25,13,3,Ranger,4,33,15,3,Fighter,4,33,12,3,Fighter,4,45,15,3,5,Vegepygmy Chief,2.0,14,33,0.8298777246145665
Cleric,1,9,12,2,Cleric,1,7,19,2,Barbarian,1,13,14,2,Druid,1,10,15,2,10,Star Spawn Grue,0.25,11,17,0.0
Monk,5,41,12,3,Monk,5,46,10,3,Ranger,5,42,15,3,Paladin,5,40,15,3,2,Black Abishai,7.0,15,58,0.5134075685191704
Wizzard,3,20,14,3,Cleric,3,24,13,3,Cleric,3,21,19,3,Wizzard,3,11,10,3,2,Quaggoth,2.0,13,45,0.6093654151834688
Rogue,1,9,13,2,Barbarian,1,12,13,2,Ranger,1,9,14,2,Ranger,1,11,17,2,10,Swarm of Insects,0.5,12,22,0.0
Cleric,2,15,12,2,Bard,2,13,16,2,Paladin,2,21,14,2,Cleric,2,21,18,2,10,Giant Centipede,0.25,13,4,0.0
Rogue,1,8,14,2,Cleric,1,9,14,2,Artificer,1,5,15,2,Wizzard,1,6,13,2,2,Ghast,2.0,13,36,0.0
Fighter,2,20,18,2,Paladin,2,10,16,2,Sorcerer,2,13,10,2,Barbarian,2,21,17,2,1,Vrock,6.0,15,104,0.8900870421550875
Barbarian,2,25,14,2,Paladin,2,18,15,2,Monk,2,12,14,2,Paladin,2,20,18,2,1,Sahuagin Priestess,2.0,12,33,0.9790291262135924
Fighter,2,19,17,2,Fighter,2,16,19,2,Sorcerer,2,7,12,2,Warlock,2,10,15,2,1,Tortle Druid,2.0,17,33,0.9690483757306103
Paladin,1,10,14,2,Cleric,1,10,13,2,Bard,1,7,15,2,Ranger,1,10,13,2,10,Derro,0.25,13,13,0.0
Bard,2,13,15,2,Bard,2,13,15,2,Monk,2,14,11,2,Sorcerer,2,13,11,2,1,Myconid Sovereign,2.0,13,60,0.6691308691308692
Sorcerer,2,11,10,2,Bard,2,18,12,2,Ranger,2,18,15,2,Sorcerer,2,11,10,2,1,Black Abishai,7.0,15,58,0.0
Paladin,4,34,18,3,Warlock,4,30,16,3,Sorcerer,4,26,13,3,Cleric,4,35,16,3,1,Giant Shark,5.0,13,126,0.618725038898687
Druid,1,7,11,2,Rogue,1,7,12,2,Sorcerer,1,8,11,2,Warlock,1,7,12,2,10,Twig Blight,0.125,13,4,0.0
Cleric,1,8,16,2,Sorcerer,1,8,11,2,Fighter,1,10,12,2,Bard,1,6,13,2,10,Gnoll Hunter,0.5,13,22,0.0
Rogue,2,14,13,2,Bard,2,17,16,2,Paladin,2,15,17,2,Ranger,2,17,14,2,10,Giant Wolf Spider,0.25,13,11,0.0
Druid,5,35,16,3,Cleric,5,31,19,3,Monk,5,44,14,3,Ranger,5,54,16,3,3,Giff,3.0,16,60,0.7913074874639939
Sorcerer,5,37,10,3,Warlock,5,37,16,3,Artificer,5,44,17,3,Sorcerer,5,28,15,3,1,Archmage,12.0,12,99,0.6259343125567773
Artificer,3,20,14,3,Monk,3,26,13,3,Bard,3,25,14,3,Ranger,3,26,16,3,3,Poltergeist,2.0,12,22,0.9808294930875577
Artificer,5,38,17,3,Fighter,5,51,14,3,Fighter,5,43,14,3,Monk,5,28,13,3,4,Wereboar,4.0,10,78,0.9339016078461106
Monk,3,26,11,3,Sorcerer,3,18,13,3,Rogue,3,28,12,3,Druid,3,19,16,3,1,Doppelganger,3.0,14,52,1.0
Barbarian,1,7,14,2,Druid,1,9,12,2,Ranger,1,7,15,2,Bard,1,6,12,2,10,Grimlock,0.25,11,11,0.0
Bard,2,14,15,2,Bard,2,15,12,2,Bard,2,16,15,2,Paladin,2,14,14,2,10,Poisonous Snake,0.125,13,2,0.0
Druid,5,36,14,3,Druid,5,31,15,3,Sorcerer,5,30,15,3,Cleric,5,32,19,3,10,Dolphin,0.125,12,11,0.9597906748505389
Wizzard,4,20,13,3,Artificer,4,32,13,3,Monk,4,31,11,3,Cleric,4,33,14,3,6,Ogre,2.0,11,59,0.0
Druid,4,32,13,3,Fighter,4,43,18,3,Wizzard,4,22,12,3,Monk,4,24,12,3,1,Howler,8.0,16,90,0.8017484953573957
Paladin,1,10,15,2,Monk,1,6,10,2,Druid,1,6,12,2,Rogue,1,7,12,2,3,Meazel,1.0,13,35,0.0
Barbarian,4,43,16,3,Sorcerer,4,27,10,3,Wizzard,4,32,12,3,Cleric,4,43,13,3,10,Satyr,0.5,14,31,0.09434555725195465
Druid,1,5,11,2,Barbarian,1,11,16,2,Bard,1,10,15,2,Bard,1,7,15,2,1,Orog,2.0,18,42,0.5018137580181377
Ranger,1,8,12,2,Monk,1,6,15,2,Artificer,1,11,15,2,Wizzard,1,5,11,2,10,Grung,0.25,12,11,0.0
Cleric,4,29,16,3,Bard,4,27,14,3,Warlock,4,36,14,3,Fighter,4,41,14,3,9,Sea Spawn,1.0,11,32,0.0
Paladin,5,51,18,3,Monk,5,37,12,3,Ranger,5,38,12,3,Fighter,5,48,19,3,1,Galeb Duhr,6.0,16,85,0.9713034975138032
Druid,3,26,13,3,Monk,3,30,15,3,Warlock,3,22,16,3,Druid,3,24,13,3,4,Ettercap,2.0,13,44,0.4059371321747559
Artificer,4,23,13,3,Warlock,4,27,14,3,Sorcerer,4,21,13,3,Druid,4,31,15,3,10,Giant Lizard,0.25,12,19,0.9480981562129682
Bard,4,27,15,3,Artificer,4,27,12,3,Druid,4,31,13,3,Artificer,4,32,15,3,1,Abjurer Wizard,9.0,12,104,0.0
Paladin,2,21,18,2,Druid,2,20,11,2,Warlock,2,15,13,2,Monk,2,20,16,2,10,Jackal,0.0,12,3,1.0
Monk,2,18,12,2,Cleric,2,16,16,2,Monk,2,16,11,2,Artificer,2,13,18,2,4,Bugbear,1.0,16,27,0.0
Bard,5,41,15,3,Wizzard,5,29,13,3,Wizzard,5,32,10,3,Rogue,5,38,12,3,5,Will-o'-Wisp,2.0,19,22,0.8178390969437181
Artificer,1,7,13,2,Rogue,1,8,14,2,Druid,1,10,15,2,Paladin,1,8,16,2,10,Dretch,0.25,11,18,0.0
Warlock,4,24,14,3,Cleric,4,26,20,3,Warlock,4,34,14,3,Bard,4,38,12,3,10,Darkling,0.5,14,13,0.0
Sorcerer,5,27,14,3,Bard,5,32,15,3,Sorcerer,5,32,12,3,Barbarian,5,57,17,3,2,Master Thief,5.0,16,84,0.9132482611314968
Barbarian,5,50,16,3,Druid,5,38,14,3,Sorcerer,5,26,15,3,Sorcerer,5,29,10,3,1,Blackguard,8.0,18,119,0.8257956717232643
Cleric,3,18,19,3,Bard,3,24,12,3,Rogue,3,19,15,3,Druid,3,22,16,3,7,Half-Ogre (Ogrillon),1.0,12,30,0.0
Paladin,2,16,16,2,Paladin,2,20,19,2,Druid,2,19,11,2,Druid,2,13,11,2,10,Drow,0.25,15,13,0.4665700088285011
Fighter,5,46,17,3,Warlock,5,27,14,3,Monk,5,44,13,3,Rogue,5,35,13,3,3,Water Elemental,5.0,14,114,0.5054095110500296
Artificer,1,9,18,2,Monk,1,8,14,2,Wizzard,1,3,14,2,Bard,1,8,15,2,10,Star Spawn Grue,0.25,11,17,0.0
Artificer,5,28,14,3,Fighter,5,44,12,3,Bard,5,36,13,3,Rogue,5,38,15,3,10,Magma Mephit,0.5,11,22,0.24529323818260265
Rogue,5,44,15,3,Fighter,5,42,18,3,Druid,5,33,13,3,Fighter,5,38,16,3,10,Eagle,0.0,12,3,1.0
Rogue,2,12,15,2,Sorcerer,2,9,12,2,Cleric,2,12,15,2,Bard,2,16,12,2,10,Smoke Mephit,0.25,12,22,0.0
Ranger,5,41,12,3,Fighter,5,43,13,3,Warlock,5,30,16,3,Ranger,5,51,17,3,10,Dust Mephit,0.5,12,17,0.8403931322432142
Bard,4,25,16,3,Druid,4,27,12,3,Ranger,4,29,15,3,Ranger,4,29,12,3,10,Ice Mephit,0.5,11,21,0.009395329549283363
Wizzard,3,20,10,3,Rogue,3,19,11,3,Sorcerer,3,20,13,3,Barbarian,3,40,13,3,1,Howler,8.0,16,90,0.7537037037037038
Artificer,1,5,14,2,Druid,1,8,11,2,Wizzard,1,5,11,2,Bard,1,6,14,2,10,Badger,0.0,10,3,1.0
Warlock,2,16,14,2,Paladin,2,22,16,2,Artificer,2,19,16,2,Monk,2,17,13,2,4,Yuan-ti Pureblood,1.0,11,40,0.7502263290057495
Ranger,5,53,14,3,Artificer,5,39,16,3,Sorcerer,5,37,15,3,Monk,5,41,11,3,8,Brass Dragon Wyrmling,1.0,16,16,0.19524278658257446
Sorcerer,4,32,13,3,Barbarian,4,42,16,3,Barbarian,4,41,17,3,Artificer,4,22,18,3,2,Intellect Devourer,2.0,12,21,0.9909227566340234
Ranger,4,32,13,3,Barbarian,4,39,16,3,Sorcerer,4,18,10,3,Sorcerer,4,14,12,3,1,Dolphin Delighter,3.0,14,27,0.9856976391527128
Artificer,4,26,12,3,Druid,4,31,11,3,Warlock,4,27,16,3,Ranger,4,31,14,3,10,Deer,0.0,13,4,1.0
Barbarian,5,54,14,3,Barbarian,5,45,15,3,Rogue,5,37,12,3,Sorcerer,5,33,10,3,4,Pentadrone,2.0,16,32,0.510054982310712
Paladin,3,29,16,3,Monk,3,18,10,3,Rogue,3,20,16,3,Barbarian,3,29,14,3,10,Young Kruthik,0.125,16,9,0.4945834437336766
Warlock,1,9,11,2,Bard,1,9,15,2,Monk,1,8,15,2,Druid,1,9,11,2,10,Crab,0.0,11,2,1.0
Ranger,2,21,14,2,Wizzard,2,14,13,2,Artificer,2,18,15,2,Barbarian,2,24,13,2,2,Minotaur Skeleton,2.0,12,67,0.3072484345420125
Barbarian,2,25,16,2,Wizzard,2,14,10,2,Sorcerer,2,9,12,2,Wizzard,2,15,12,2,3,Dryad,1.0,11,22,0.9502085620197585
Artificer,5,33,16,3,Monk,5,27,13,3,Barbarian,5,45,12,3,Bard,5,47,12,3,1,Merregon,4.0,16,45,0.9714102620519703
Paladin,3,33,14,3,Monk,3,28,16,3,Cleric,3,20,19,3,Bard,3,22,16,3,1,Deathlock Mastermind,8.0,13,110,0.6663591100588419
Bard,1,6,12,2,Barbarian,1,14,15,2,Warlock,1,11,14,2,Warlock,1,8,13,2,10,Magmin,0.5,14,9,0.0
Monk,4,35,10,3,Monk,4,30,15,3,Fighter,4,31,16,3,Paladin,4,37,18,3,10,Warhorse Skeleton,0.5,13,22,0.0
Barbarian,3,30,17,3,Monk,3,26,15,3,Cleric,3,21,16,3,Rogue,3,27,11,3,3,Merregon,4.0,16,45,0.0
Ranger,3,27,12,3,Cleric,3,19,15,3,Cleric,3,29,13,3,Rogue,3,25,14,3,10,Satyr,0.5,14,31,0.0
Artificer,2,17,16,2,Sorcerer,2,9,10,2,Cleric,2,20,13,2,Ranger,2,21,12,2,1,Manticore,3.0,14,68,0.26383424072822287
Sorcerer,4,30,14,3,Sorcerer,4,25,10,3,Barbarian,4,50,15,3,Fighter,4,41,19,3,3,Sea Spawn,1.0,11,32,0.9034671877105511
Sorcerer,3,17,13,3,Monk,3,24,15,3,Fighter,3,24,12,3,Rogue,3,21,16,3,2,Giant Crocodile,5.0,14,85,0.0
Warlock,2,14,11,2,Sorcerer,2,13,11,2,Warlock,2,16,13,2,Wizzard,2,15,15,2,1,Air Elemental,5.0,15,90,0.0
Fighter,1,7,13,2,Rogue,1,7,11,2,Artificer,1,6,17,2,Warlock,1,10,11,2,1,Rug of Smothering,2.0,12,33,0.6146551724137933
Wizzard,1,7,10,2,Wizzard,1,4,10,2,Bard,1,5,13,2,Paladin,1,10,15,2,1,Dolphin Delighter,3.0,14,27,0.7216494845360825
Ranger,2,18,12,2,Cleric,2,14,16,2,Cleric,2,10,19,2,Monk,2,11,12,2,10,Cockatrice,0.5,11,27,0.0
Artificer,4,26,18,3,Bard,4,37,16,3,Rogue,4,30,11,3,Artificer,4,33,12,3,10,Cat,0.0,12,2,1.0
Cleric,1,6,14,2,Artificer,1,9,18,2,Artificer,1,7,16,2,Sorcerer,1,7,15,2,1,Githyanki Warrior,3.0,17,49,0.0
Fighter,1,10,15,2,Bard,1,10,13,2,Artificer,1,9,17,2,Druid,1,6,13,2,10,Dolphin,0.125,12,11,0.0
Monk,4,32,15,3,Barbarian,4,41,16,3,Druid,4,25,11,3,Cleric,4,30,18,3,10,Violet Fungus,0.25,5,18,0.929507010921894
Rogue,3,23,14,3,Fighter,3,36,13,3,Fighter,3,15,16,3,Wizzard,3,21,13,3,4,Aurochs,2.0,11,38,0.0
Rogue,3,24,16,3,Fighter,3,32,18,3,Sorcerer,3,14,10,3,Monk,3,19,13,3,1,Incubus,4.0,15,66,0.9752112326043737
Sorcerer,2,16,13,2,Barbarian,2,22,13,2,Artificer,2,18,18,2,Warlock,2,12,13,2,1,Doppelganger,3.0,14,52,0.8663876617840813
Bard,5,41,12,3,Rogue,5,27,11,3,Bard,5,29,15,3,Druid,5,28,11,3,7,Gelatinous Cube,2.0,6,84,0.0
Cleric,1,9,18,2,Monk,1,10,10,2,Monk,1,10,16,2,Druid,1,6,11,2,10,Goblin,0.25,15,7,0.0
Paladin,3,23,15,3,Warlock,3,13,15,3,Barbarian,3,34,13,3,Bard,3,26,16,3,1,Deep Scion,3.0,11,67,0.8800774951890571
Druid,2,18,13,2,Fighter,2,20,17,2,Barbarian,2,20,16,2,Bard,2,10,12,2,1,Barbed Devil,5.0,15,110,0.6456521739130435
Bard,4,31,12,3,Ranger,4,43,15,3,Fighter,4,35,14,3,Fighter,4,39,19,3,10,Commoner,0.0,10,4,0.9475220156775831
Fighter,1,8,19,2,Fighter,1,9,12,2,Paladin,1,7,18,2,Bard,1,6,12,2,2,White Dragon Wyrmling,2.0,16,32,0.0
Ranger,3,25,12,3,Sorcerer,3,25,11,3,Sorcerer,3,19,11,3,Cleric,3,25,12,3,9,Giant Toad,1.0,11,39,0.0
Barbarian,1,7,17,2,Wizzard,1,7,13,2,Barbarian,1,15,15,2,Paladin,1,8,16,2,1,Duergar,1.0,16,26,0.9348295926849544
Monk,5,25,16,3,Barbarian,5,57,12,3,Warlock,5,44,12,3,Paladin,5,53,17,3,4,Bulezau,3.0,14,52,0.75967045292324
Sorcerer,2,9,10,2,Wizzard,2,13,12,2,Ranger,2,14,12,2,Artificer,2,15,13,2,1,Sahuagin Priestess,2.0,12,33,0.8965395517997541
Sorcerer,1,6,13,2,Warlock,1,9,11,2,Barbarian,1,11,16,2,Monk,1,10,13,2,10,Chitine,0.5,14,18,0.0
Fighter,5,32,18,3,Bard,5,45,12,3,Warlock,5,39,11,3,Barbarian,5,55,16,3,2,White Abishai,6.0,15,68,0.8288570758747948
Barbarian,4,39,13,3,Wizzard,4,20,12,3,Warlock,4,25,15,3,Monk,4,25,11,3,12,Giant Octopus,1.0,11,52,0.0
