p1_class,p1_level,p1_hp,p1_ac,p1_avg_save,p2_class,p2_level,p2_hp,p2_ac,p2_avg_save,p3_class,p3_level,p3_hp,p3_ac,p3_avg_save,p4_class,p4_level,p4_hp,p4_ac,p4_avg_save,num_of_monsters,monster_name,monster_cr,monster_ac,monster_hp,dificulty
Paladin,5,33,14,3,Warlock,5,32,12,3,Sorcerer,5,26,10,3,Rogue,5,30,16,3,2,Death Kiss,10.0,15,142,0.0
Rogue,2,20,14,2,Monk,2,11,16,2,Barbarian,2,19,13,2,Wizzard,2,8,15,2,4,Giant Eagle,1.0,13,26,0.0
Warlock,4,28,12,3,Barbarian,4,40,13,3,Fighter,4,35,19,3,Warlock,4,22,13,3,1,Tanarukk,5.0,14,95,0.557459708965733
Rogue,4,26,13,3,Monk,4,23,14,3,Artificer,4,23,18,3,Sorcerer,4,29,11,3,1,Earth Elemental Myrmidon,7.0,18,127,0.8314405725373881
Bard,3,25,16,3,Rogue,3,26,12,3,Cleric,3,19,17,3,Wizzard,3,17,14,3,2,Giant Boar,2.0,12,42,0.7807890335215117
Fighter,1,11,13,2,Ranger,1,12,13,2,Bard,1,5,14,2,Sorcerer,1,8,12,2,1,Duergar Soulblade,1.0,14,27,0.776176024279211
Monk,2,14,12,2,Warlock,2,12,16,2,Artificer,2,10,14,2,Cleric,2,16,18,2,1,Cyclops,6.0,14,138,0.0
Artificer,5,29,13,3,Artificer,5,35,17,3,Sorcerer,5,27,14,3,Rogue,5,28,11,3,2,Giant Octopus,1.0,11,52,1.0
Wizzard,4,23,15,3,Barbarian,4,46,17,3,Sorcerer,4,20,11,3,Druid,4,35,16,3,1,Deep Scion,3.0,11,67,0.9602591792656586
Artificer,1,7,17,2,Barbarian,1,14,15,2,Artificer,1,6,15,2,Rogue,1,7,14,2,1,Swarm of Poisonous Snakes,2.0,14,36,0.6590909090909092
Artificer,4,22,18,3,Fighter,4,31,19,3,Paladin,4,29,19,3,Warlock,4,27,16,3,3,Yeti,3.0,12,51,0.0
Wizzard,1,8,15,2,Warlock,1,9,14,2,Fighter,1,9,13,2,Barbarian,1,12,13,2,1,Faerie Dragon (Violet),2.0,15,14,1.0
Paladin,1,9,19,2,Rogue,1,5,12,2,Cleric,1,6,13,2,Artificer,1,8,15,2,10,Troglodyte,0.25,11,13,0.0
Druid,1,6,14,2,Wizzard,1,7,10,2,Barbarian,1,11,12,2,Fighter,1,12,19,2,10,Noble,0.125,15,9,0.0
Warlock,1,7,11,2,Artificer,1,6,16,2,Druid,1,9,14,2,Ranger,1,11,15,2,10,Eagle,0.0,12,3,0.0
Rogue,4,36,11,3,Barbarian,4,42,12,3,Paladin,4,33,16,3,Warlock,4,34,12,3,10,Pony,0.125,10,11,0.5230473944206911
Bard,3,25,16,3,Fighter,3,34,14,3,Artificer,3,23,18,3,Barbarian,3,41,16,3,3,Hook Horror,3.0,15,75,0.32107778217019245
Fighter,1,10,19,2,Monk,1,7,14,2,Wizzard,1,7,10,2,Monk,1,8,11,2,10,Darkling,0.5,14,13,0.0
Paladin,5,45,19,3,Bard,5,33,14,3,Artificer,5,35,12,3,Sorcerer,5,42,12,3,6,Yuan-ti Pureblood,1.0,11,40,0.9750704133097531
Fighter,3,22,16,3,Rogue,3,20,11,3,Warlock,3,26,11,3,Cleric,3,22,13,3,3,Nightmare,3.0,13,68,0.0
Wizzard,3,21,12,3,Barbarian,3,35,16,3,Druid,3,23,16,3,Wizzard,3,18,12,3,10,Myconid Adult,0.5,12,22,0.0
Rogue,5,35,14,3,Warlock,5,35,14,3,Monk,5,37,14,3,Paladin,5,39,15,3,2,Yochlol,10.0,15,136,0.2358683285116751
Warlock,5,33,11,3,Ranger,5,43,14,3,Warlock,5,32,12,3,Ranger,5,57,16,3,3,Duergar Kavalrachni,2.0,16,26,0.8084875102891482
Bard,5,34,13,3,Rogue,5,44,15,3,Bard,5,32,15,3,Artificer,5,37,18,3,4,Bearded Devil,3.0,13,52,0.87059254983865
Wizzard,4,23,15,3,Fighter,4,42,16,3,Rogue,4,39,17,3,Druid,4,28,11,3,10,Swarm of Bats,0.25,12,22,0.4150344506103257
Wizzard,4,16,13,3,Paladin,4,32,18,3,Cleric,4,35,19,3,Cleric,4,27,18,3,1,Bandit Captain,2.0,15,65,0.9151172442415438
Wizzard,4,16,14,3,Paladin,4,40,15,3,Druid,4,26,13,3,Bard,4,33,15,3,10,Eagle,0.0,12,3,0.9244992343724397
Rogue,1,7,15,2,Fighter,1,8,16,2,Fighter,1,5,17,2,Paladin,1,11,18,2,1,Goblin Boss,1.0,17,21,0.9556283344778406
Fighter,4,36,18,3,Cleric,4,36,18,3,Monk,4,33,11,3,Druid,4,39,16,3,10,Winged Kobold,0.25,13,7,0.9764138300723667
Artificer,1,9,16,2,Ranger,1,8,12,2,Ranger,1,9,12,2,Monk,1,8,10,2,10,Crab,0.0,11,2,1.0
Rogue,1,6,16,2,Monk,1,7,15,2,Bard,1,10,13,2,Fighter,1,9,19,2,1,Yuan-ti Broodguard,2.0,14,45,0.9186653116531167
Warlock,4,29,12,3,Monk,4,36,11,3,Artificer,4,28,13,3,Barbarian,4,46,14,3,10,Xvart,0.125,13,7,0.9293442248659985
Monk,3,16,15,3,Sorcerer,3,12,10,3,Sorcerer,3,18,13,3,Wizzard,3,14,10,3,1,Berbalang,2.0,14,49,0.7942424242424243
Sorcerer,2,8,11,2,Warlock,2,15,16,2,Rogue,2,15,16,2,Druid,2,19,16,2,1,Spectator,3.0,14,39,1.0
Barbarian,1,10,14,2,Artificer,1,6,16,2,Fighter,1,8,12,2,Druid,1,10,16,2,10,Blood Hawk,0.125,12,7,0.0
Bard,5,46,12,3,Barbarian,5,50,13,3,Ranger,5,35,16,3,Rogue,5,38,15,3,3,Beholder Zombie,5.0,15,93,0.48902062580027
Sorcerer,5,38,15,3,Sorcerer,5,27,13,3,Paladin,5,53,17,3,Fighter,5,47,18,3,10,Shadow,0.5,12,16,0.0
Sorcerer,1,4,15,2,Wizzard,1,5,13,2,Paladin,1,10,15,2,Barbarian,1,8,15,2,10,Quipper,0.0,13,1,1.0
Ranger,3,25,15,3,Barbarian,3,32,15,3,Cleric,3,24,13,3,Artificer,3,15,17,3,1,Yuan-ti Broodguard,2.0,14,45,1.0
Sorcerer,4,19,10,3,Warlock,4,27,11,3,Fighter,4,40,19,3,Druid,4,34,13,3,2,Winter Wolf,3.0,13,75,0.6807425326939347
Fighter,4,48,13,3,Warlock,4,30,15,3,Monk,4,28,11,3,Bard,4,32,16,3,2,Ogre Howdah,2.0,15,59,0.7698103135603136
Artificer,3,25,18,3,Monk,3,15,14,3,Paladin,3,29,17,3,Bard,3,15,16,3,2,Yuan-ti Nightmare Speaker,4.0,14,71,0.8965883429966435
Druid,1,8,14,2,Bard,1,8,12,2,Barbarian,1,11,12,2,Rogue,1,6,13,2,1,Hunter Shark,2.0,12,45,0.6886024423337856
Druid,2,18,13,2,Sorcerer,2,13,13,2,Bard,2,13,16,2,Artificer,2,12,16,2,1,Faerie Dragon (Indigo),2.0,15,14,1.0
Barbarian,2,27,12,2,Monk,2,11,12,2,Bard,2,15,14,2,Rogue,2,19,17,2,3,Quasit,1.0,13,7,0.9220035387270418
Bard,1,5,13,2,Monk,1,7,14,2,Artificer,1,5,16,2,Ranger,1,12,14,2,10,Giant Centipede,0.25,13,4,0.0
Warlock,5,45,11,3,Fighter,5,46,18,3,Barbarian,5,59,16,3,Warlock,5,35,13,3,2,Hobgoblin Devastator,4.0,13,45,0.5752815390029667
Warlock,1,7,12,2,Bard,1,9,14,2,Bard,1,7,13,2,Wizzard,1,6,10,2,1,Duergar Mind Master,2.0,14,39,0.0
Paladin,1,11,17,2,Cleric,1,7,13,2,Barbarian,1,9,15,2,Wizzard,1,5,11,2,1,Minotaur Skeleton,2.0,12,67,0.5561815185755863
Monk,2,18,16,2,Druid,2,12,12,2,Paladin,2,16,15,2,Artificer,2,18,17,2,10,Frog,0.0,11,1,1.0
Bard,2,16,12,2,Warlock,2,18,12,2,Wizzard,2,13,13,2,Sorcerer,2,14,14,2,1,Giant Elk,2.0,14,42,0.4339176590143362
Warlock,5,30,11,3,Wizzard,5,28,13,3,Artificer,5,40,12,3,Wizzard,5,24,15,3,4,Hobgoblin Captain,3.0,17,39,0.18011695906432748
Druid,3,16,15,3,Paladin,3,18,14,3,Warlock,3,25,15,3,Fighter,3,26,16,3,3,Shadow Mastiff Alpha,3.0,12,44,0.9216533819556544
Warlock,1,11,14,2,Warlock,1,11,14,2,Bard,1,7,14,2,Barbarian,1,10,15,2,1,Meazel,1.0,13,35,0.6107867667500695
Druid,1,7,14,2,Monk,1,10,11,2,Monk,1,4,11,2,Monk,1,6,16,2,1,Cave Bear,2.0,12,42,0.9848375451263538
Ranger,3,26,17,3,Ranger,3,21,16,3,Ranger,3,31,13,3,Druid,3,25,12,3,1,Dhergoloth,7.0,15,119,0.7036819553413576
Wizzard,3,22,10,3,Druid,3,27,11,3,Monk,3,22,11,3,Artificer,3,21,13,3,10,Star Spawn Grue,0.25,11,17,0.9099049859323831
Sorcerer,4,28,13,3,Monk,4,27,15,3,Rogue,4,29,11,3,Barbarian,4,46,16,3,1,Lizardfolk Shaman,2.0,13,27,0.9853430092826272
Ranger,1,11,13,2,Cleric,1,6,16,2,Cleric,1,7,16,2,Monk,1,5,10,2,1,Faerie Dragon (Orange),1.0,15,14,1.0
Rogue,4,19,12,3,Rogue,4,32,15,3,Barbarian,4,50,15,3,Cleric,4,29,15,3,1,Mindwitness,5.0,15,75,0.9190542866980373
Bard,4,36,14,3,Bard,4,39,15,3,Warlock,4,24,13,3,Druid,4,32,16,3,1,Veteran,3.0,17,58,0.7972931461303555
Monk,4,23,15,3,Cleric,4,39,14,3,Fighter,4,31,15,3,Fighter,4,35,15,3,10,Bandit,0.125,12,11,0.7876132990878266
Bard,4,31,13,3,Sorcerer,4,17,14,3,Cleric,4,30,15,3,Warlock,4,32,16,3,4,Minotaur,3.0,14,76,0.22101750256770383
Monk,4,37,14,3,Druid,4,33,12,3,Ranger,4,29,14,3,Wizzard,4,21,14,3,3,Shadow Mastiff Alpha,3.0,12,44,0.948809533965784
Rogue,2,12,13,2,Fighter,2,20,15,2,Monk,2,11,10,2,Monk,2,12,15,2,10,Ice Mephit,0.5,11,21,0.0
Fighter,5,36,16,3,Fighter,5,43,17,3,Fighter,5,45,14,3,Fighter,5,37,14,3,7,Giant Spider,1.0,14,26,0.6030961179161421
Druid,5,51,13,3,Monk,5,23,13,3,Monk,5,36,10,3,Artificer,5,46,16,3,10,Jackalwere,0.5,12,18,0.9916060896996297
Rogue,3,20,15,3,Rogue,3,27,11,3,Sorcerer,3,22,11,3,Druid,3,16,16,3,1,Mezzoloth,5.0,18,75,0.8322346331870399
Barbarian,1,8,12,2,Monk,1,5,13,2,Wizzard,1,6,12,2,Paladin,1,9,19,2,1,Vargouille,1.0,12,18,0.8975934459805427
Wizzard,5,24,10,3,Fighter,5,53,12,3,Ranger,5,50,15,3,Monk,5,45,11,3,3,Sea Spawn,1.0,11,32,0.9606061294289965
Barbarian,5,54,14,3,Wizzard,5,34,10,3,Wizzard,5,22,14,3,Druid,5,38,15,3,9,Giant Constrictor Snake,2.0,12,60,0.0
Ranger,2,10,15,2,Rogue,2,21,14,2,Warlock,2,11,14,2,Paladin,2,17,15,2,10,Pixie,0.25,15,1,1.0
Paladin,2,16,16,2,Wizzard,2,11,13,2,Artificer,2,11,16,2,Rogue,2,13,13,2,2,Gnoll Pack Lord,2.0,15,49,0.0
Bard,1,7,16,2,Sorcerer,1,6,12,2,Paladin,1,11,16,2,Ranger,1,7,14,2,10,Dimetrodon,0.25,12,19,0.0
Sorcerer,1,7,13,2,Barbarian,1,10,16,2,Monk,1,10,14,2,Rogue,1,9,12,2,10,Giant Owl,0.25,12,19,0.0
Ranger,5,36,15,3,Sorcerer,5,17,15,3,Warlock,5,31,12,3,Cleric,5,40,19,3,10,Tribal Warrior,0.125,12,11,0.7415109884806417
Bard,4,26,14,3,Cleric,4,25,14,3,Barbarian,4,39,14,3,Paladin,4,30,19,3,10,Reef Shark,0.5,12,22,0.2012265595101416
Fighter,2,17,19,2,Ranger,2,17,15,2,Rogue,2,20,15,2,Paladin,2,14,19,2,10,Giant Goat,0.5,11,19,0.0
Artificer,3,26,16,3,Artificer,3,25,13,3,Fighter,3,24,12,3,Fighter,3,30,13,3,2,Tlincalli,5.0,15,85,0.301207077522867
Monk,2,18,13,2,Warlock,2,17,16,2,Wizzard,2,9,15,2,Monk,2,12,16,2,2,Manticore,3.0,14,68,0.0
Rogue,5,42,14,3,Artificer,5,41,18,3,Wizzard,5,29,12,3,Barbarian,5,55,16,3,2,Hydroloth,9.0,15,135,0.31971679596253333
Wizzard,5,22,11,3,Cleric,5,38,15,3,Rogue,5,33,12,3,Warlock,5,39,13,3,3,Invisible Stalker,6.0,14,104,0.47925085009871904
Fighter,2,18,18,2,Artificer,2,20,16,2,Warlock,2,13,15,2,Monk,2,11,15,2,10,Duodrone,0.25,15,11,0.0
Fighter,3,25,12,3,Cleric,3,22,15,3,Bard,3,24,13,3,Wizzard,3,16,10,3,10,Cockatrice,0.5,11,27,0.15263983220135838
Rogue,4,29,16,3,Cleric,4,35,18,3,Monk,4,33,16,3,Artificer,4,37,16,3,10,Velociraptor,0.25,13,10,0.9621670274297055
Barbarian,1,10,12,2,Sorcerer,1,4,10,2,Monk,1,5,12,2,Ranger,1,10,17,2,10,Aarakocra,0.25,12,13,0.0
Rogue,3,26,11,3,Barbarian,3,29,12,3,Rogue,3,23,11,3,Ranger,3,22,15,3,1,Warlock of the Fiend,7.0,13,78,0.15557363805144062
Paladin,2,18,16,2,Rogue,2,16,15,2,Sorcerer,2,16,15,2,Bard,2,8,12,2,1,Bugbear Chief,3.0,17,65,0.48989898989898983
Bard,4,32,16,3,Ranger,4,32,15,3,Barbarian,4,45,14,3,Monk,4,34,13,3,1,Black Dragon Wyrmling,2.0,17,33,0.8516971474822331
Druid,2,18,13,2,Barbarian,2,22,14,2,Cleric,2,16,15,2,Artificer,2,16,12,2,1,Veteran,3.0,17,58,0.3953783646521077
Warlock,3,21,13,3,Rogue,3,19,16,3,Druid,3,24,15,3,Bard,3,20,16,3,8,Kobold Dragonshield,1.0,15,44,0.0
Barbarian,4,49,17,3,Barbarian,4,43,14,3,Rogue,4,33,16,3,Warlock,4,25,16,3,5,Duergar Hammerer,2.0,17,33,0.5100411900452793
Barbarian,3,34,12,3,Barbarian,3,39,13,3,Wizzard,3,19,14,3,Bard,3,23,12,3,1,Dhergoloth,7.0,15,119,0.43124116222939124
Fighter,1,9,13,2,Bard,1,9,16,2,Druid,1,5,14,2,Paladin,1,6,19,2,10,Deep Gnome (Svirfneblin),0.5,15,16,0.0
Monk,2,16,10,2,Bard,2,16,16,2,Bard,2,16,13,2,Fighter,2,16,16,2,10,Apprentice Wizard,0.25,10,13,0.0
Warlock,3,19,11,3,Artificer,3,31,18,3,Monk,3,18,16,3,Cleric,3,27,16,3,10,Duodrone,0.25,15,11,0.4600822345968448
Ranger,4,39,15,3,Artificer,4,29,18,3,Sorcerer,4,19,15,3,Fighter,4,38,14,3,1,Master Thief,5.0,16,84,0.789315395989589
Ranger,4,34,16,3,Rogue,4,37,14,3,Bard,4,38,15,3,Warlock,4,29,14,3,1,Catoblepas,5.0,14,84,0.6883055160890365
Wizzard,2,11,11,2,Monk,2,14,12,2,Monk,2,15,11,2,Barbarian,2,19,15,2,10,Panther,0.25,12,13,0.0
Sorcerer,1,5,12,2,Paladin,1,7,18,2,Cleric,1,11,18,2,Barbarian,1,9,13,2,1,Spy,1.0,12,27,0.7503905581236088
Cleric,3,28,18,3,Bard,3,15,15,3,Sorcerer,3,14,14,3,Bard,3,24,15,3,1,Blue Slaad,7.0,15,123,0.178078137332281
Druid,4,37,16,3,Fighter,4,35,16,3,Paladin,4,32,17,3,Druid,4,31,16,3,3,Wereboar,4.0,10,78,0.9912634276836761
Ranger,4,39,14,3,Barbarian,4,45,12,3,Paladin,4,37,15,3,Paladin,4,32,15,3,10,Sea Horse,0.0,11,1,0.6886342241897759
Cleric,5,33,16,3,Ranger,5,53,13,3,Sorcerer,5,26,11,3,Fighter,5,43,18,3,10,Giant Fire Beetle,0.0,13,4,1.0
Fighter,2,16,13,2,Artificer,2,11,15,2,Barbarian,2,15,16,2,Paladin,2,21,18,2,1,Yuan-ti Malison (Type 1),3.0,12,66,0.9237633197608941
Artificer,5,41,16,3,Ranger,5,62,15,3,Druid,5,46,11,3,Sorcerer,5,35,15,3,1,Lamia,4.0,13,97,1.0
Bard,4,29,13,3,Bard,4,29,13,3,Paladin,4,36,16,3,Ranger,4,27,16,3,10,Monodrone,0.125,15,5,0.7582053908076457
Paladin,3,26,18,3,Paladin,3,32,15,3,Ranger,3,33,15,3,Ranger,3,25,12,3,3,Duergar Kavalrachni,2.0,16,26,0.12678308726422266
Sorcerer,5,42,13,3,Rogue,5,48,12,3,Paladin,5,50,18,3,Monk,5,43,10,3,1,Duergar Mind Master,2.0,14,39,0.9453916658792402
Monk,5,43,10,3,Paladin,5,46,18,3,Barbarian,5,57,15,3,Monk,5,37,13,3,3,Hydra,8.0,15,172,0.0
Ranger,1,8,16,2,Wizzard,1,3,10,2,Druid,1,8,16,2,Cleric,1,8,14,2,1,Polar Bear,2.0,12,42,0.6470588235294118
Ranger,5,55,12,3,Monk,5,46,12,3,Wizzard,5,33,14,3,Fighter,5,54,13,3,2,Peryton,2.0,13,33,0.9886853245975648
Barbarian,5,58,16,3,Rogue,5,39,13,3,Barbarian,5,52,14,3,Ranger,5,58,16,3,10,Apprentice Wizard,0.25,10,13,0.9550475458649508
Monk,5,32,13,3,Ranger,5,43,12,3,Sorcerer,5,25,12,3,Monk,5,36,15,3,1,Roper,5.0,20,93,0.8888402247070303
Warlock,3,25,16,3,Fighter,3,29,13,3,Sorcerer,3,20,15,3,Rogue,3,24,17,3,1,Gargoyle,2.0,15,52,0.9017545533701499
Wizzard,5,34,12,3,Fighter,5,37,19,3,Monk,5,39,12,3,Bard,5,31,15,3,5,Rutterkin,2.0,12,37,0.7223105136644407
Wizzard,2,14,13,2,Cleric,2,12,16,2,Cleric,2,15,17,2,Fighter,2,17,14,2,10,Poisonous Snake,0.125,13,2,0.0
Cleric,1,7,20,2,Druid,1,7,14,2,Artificer,1,6,15,2,Ranger,1,10,14,2,1,Giant Hyena,1.0,12,45,0.5588669950738916
Rogue,1,9,14,2,Druid,1,6,14,2,Artificer,1,9,16,2,Paladin,1,10,18,2,10,Pteranodon,0.25,13,13,0.0
Paladin,4,33,14,3,Warlock,4,24,16,3,Paladin,4,44,15,3,Druid,4,27,13,3,5,Ogre Howdah,2.0,15,59,0.0
Fighter,5,52,18,3,Bard,5,32,14,3,Fighter,5,52,14,3,Cleric,5,36,20,3,1,Illusionist Wizard,3.0,12,44,0.9810326659641728
Rogue,2,19,15,2,Cleric,2,13,14,2,Bard,2,16,16,2,Warlock,2,17,12,2,3,Giant Eagle,1.0,13,26,0.07805763142740899
Sorcerer,3,20,15,3,Barbarian,3,31,15,3,Ranger,3,24,16,3,Warlock,3,19,16,3,7,Thri-kreen,1.0,15,33,0.0
Fighter,1,8,14,2,Barbarian,1,8,13,2,Barbarian,1,11,15,2,Monk,1,6,14,2,10,Duodrone,0.25,15,11,0.0
Wizzard,2,14,10,2,Barbarian,2,19,12,2,Rogue,2,17,15,2,Rogue,2,8,12,2,1,Master Thief,5.0,16,84,0.0
Wizzard,3,25,14,3,Ranger,3,28,13,3,Cleric,3,23,12,3,Cleric,3,21,13,3,10,Poisonous Snake,0.125,13,2,0.0
Sorcerer,4,33,11,3,Wizzard,4,22,11,3,Druid,4,24,15,3,Monk,4,23,11,3,10,Skeleton,0.25,13,13,0.0
Bard,2,17,12,2,Cleric,2,13,14,2,Artificer,2,15,14,2,Wizzard,2,8,11,2,10,Draft Horse,0.25,10,19,0.0
Bard,3,19,13,3,Barbarian,3,29,17,3,Fighter,3,16,19,3,Fighter,3,30,13,3,1,Clockwork Oaken Bolter,5.0,16,117,0.3081757345503663
Monk,3,25,16,3,Barbarian,3,32,15,3,Fighter,3,29,13,3,Ranger,3,30,16,3,10,Black Bear,0.5,11,19,0.0
Paladin,5,48,15,3,Barbarian,5,63,12,3,Barbarian,5,44,16,3,Bard,5,36,16,3,5,Bard,2.0,15,44,0.648396731385356
Artificer,4,33,15,3,Paladin,4,29,17,3,Cleric,4,34,12,3,Monk,4,27,15,3,3,Trapper,3.0,13,68,0.8311493508032359
Sorcerer,5,36,10,3,Rogue,5,44,15,3,Barbarian,5,53,13,3,Ranger,5,51,13,3,5,Hobgoblin Captain,3.0,17,39,0.4712958858754369
Rogue,3,24,16,3,Sorcerer,3,15,13,3,Rogue,3,32,14,3,Sorcerer,3,14,12,3,1,Bodak,6.0,15,58,0.5485123245348915
Monk,4,36,15,3,Wizzard,4,26,13,3,Monk,4,33,12,3,Barbarian,4,54,16,3,2,Ghoul,1.0,12,22,0.9850976468871798
Ranger,3,29,14,3,Paladin,3,25,18,3,Fighter,3,30,14,3,Barbarian,3,24,16,3,10,Hyena,0.0,11,5,0.0
Druid,2,17,14,2,Rogue,2,14,13,2,Druid,2,16,13,2,Ranger,2,21,17,2,2,Faerie Dragon (Indigo),2.0,15,14,1.0
Ranger,3,24,14,3,Ranger,3,28,13,3,Druid,3,26,14,3,Artificer,3,23,17,3,10,Giant Fire Beetle,0.0,13,4,1.0
Ranger,3,27,15,3,Paladin,3,29,16,3,Rogue,3,19,14,3,Barbarian,3,35,15,3,2,Githzerai Monk,2.0,14,38,0.6974743027740724
Sorcerer,2,12,14,2,Warlock,2,11,13,2,Barbarian,2,22,13,2,Rogue,2,15,11,2,1,Aurochs,2.0,11,38,0.9206349206349207
Monk,5,48,15,3,Barbarian,5,42,13,3,Barbarian,5,60,12,3,Ranger,5,40,12,3,3,Girallon,4.0,13,59,0.4558702791461412
Fighter,2,19,18,2,Ranger,2,21,15,2,Bard,2,14,14,2,Ranger,2,15,15,2,1,Warlock of the Archfey,4.0,13,67,0.7505857177117347
Paladin,3,23,18,3,Artificer,3,24,12,3,Artificer,3,18,13,3,Barbarian,3,40,17,3,10,Wretched Sorrowsworn,0.25,15,10,0.61913863889241
Ranger,4,44,15,3,Cleric,4,34,13,3,Paladin,4,44,14,3,Ranger,4,39,15,3,10,Drow,0.25,15,13,0.6167827304172703
Sorcerer,2,12,10,2,Rogue,2,16,14,2,Bard,2,17,12,2,Fighter,2,16,18,2,1,Ogre Bolt Launcher,2.0,13,59,0.7518382352941176
Paladin,2,17,15,2,Fighter,2,18,15,2,Cleric,2,19,19,2,Artificer,2,15,16,2,10,Elk,0.25,10,13,0.0
Cleric,5,29,19,3,Wizzard,5,29,14,3,Sorcerer,5,30,14,3,Ranger,5,46,14,3,7,Myconid Sovereign,2.0,13,60,0.4938399857283285
Paladin,4,34,15,3,Barbarian,4,40,12,3,Cleric,4,39,16,3,Sorcerer,4,25,12,3,10,Scout,0.5,13,16,0.0
Wizzard,4,31,13,3,Sorcerer,4,15,14,3,Rogue,4,28,11,3,Ranger,4,35,15,3,1,Fire Elemental Myrmidon,7.0,18,123,0.9017255624830577
